month,area_no,area_yes,area_maybe,percent_no,percent_yes,percent_maybe,continent
9,8247846192,225696589.7,225696589.7,0.86,0.04,0.01,europe
10,8247846192,225696589.7,651021632,0.86,0.04,0.01,europe
11,5285965999,1769774135,2068824280,0.55,0.19,0.26,europe
0,4648064233,1493547606,2982952575,0.49,0.15,0.36,europe
1,5790299052,651903990.5,2682361371,0.59,0.07,0.33,europe
2,7280048483,49910641.31,1794605290,0.75,0.06,0.24,europe
3,8394226622,17793010.54,712544781.5,0.88,0.02,0.11,europe
